dataset,method,accuracy,precision,recall,macro_f1,model_path
imdb,rule,0.06,0.3333333333333333,0.046511627906976744,0.08163265306122448,N/A
imdb,,0.0,0.0,0.0,0.0,N/A
imdb,rule,0.07,0.25925925925925924,0.04964539007092198,0.08333333333333333,brak
imdb,textblob,0.42,0.5694444444444445,0.2914492171818547,0.3260281852171412,brak
imdb,lstm,0.99,0.9907407407407407,0.9893617021276595,0.9899507587177168,models/lstm_imdb.h5
